"MSZoning","Neighborhood","HouseStyle","OverallQual","YearBuilt","ExterQual","Foundation","BsmtQual","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","TotRmsAbvGrd","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","SaleType","SaleCondition","SalePrice"
"RL","NAmes","1Story","5",1959,"TA","CBlock","TA",1700,0,1700,1,6,"RFn",2,447,"TA","TA","Y","WD","Normal",165500
"RL","NridgHt","1Story","9",2005,"Ex","PConc","Ex",1561,0,1561,2,6,"Fin",2,556,"TA","TA","Y","WD","Normal",277500
"RL","NridgHt","2Story","8",2004,"Gd","PConc","Ex",1132,1320,2452,3,9,"Fin",3,691,"TA","TA","Y","WD","Normal",309000
"RL","CollgCr","1Story","5",1994,"TA","PConc","Gd",1097,0,1097,1,6,"Unf",2,672,"TA","TA","Y","WD","Normal",145000
"RL","NAmes","1Story","5",1954,"TA","CBlock","TA",1297,0,1297,1,5,"Fin",2,498,"TA","TA","Y","WD","Normal",153000
"RL","NAmes","1Story","5",1953,"TA","CBlock","TA",1057,0,1057,1,5,"Unf",1,246,"TA","TA","Y","WD","Abnorml",109000
"RL","Edwards","1Story","4",1955,"TA","PConc","None",1152,0,1152,2,6,"None",0,0,"None","None","None","WD","AdjLand",82000
"RL","NAmes","1Story","6",1965,"TA","CBlock","TA",1324,0,1324,2,6,"RFn",2,440,"TA","TA","Y","WD","Abnorml",160000
"RL","Timber","1Story","5",1959,"TA","CBlock","TA",1328,0,1328,1,5,"RFn",1,308,"TA","TA","P","WD","Normal",170000
"RL","SawyerW","SFoyer","5",1983,"TA","CBlock","Gd",884,0,884,1,5,"RFn",2,504,"TA","Gd","Y","WD","Normal",144000
"RL","CollgCr","1Story","5",1975,"TA","CBlock","Gd",938,0,938,1,5,"Unf",1,308,"TA","TA","Y","WD","Normal",130250
"RL","NAmes","1Story","5",1959,"TA","CBlock","TA",1150,0,1150,1,6,"RFn",1,300,"TA","TA","Y","WD","Normal",141000
"RL","NridgHt","1Story","9",2005,"Ex","PConc","Ex",1752,0,1752,2,6,"RFn",2,576,"TA","TA","Y","WD","Normal",319900
"RL","Mitchel","1.5Fin","7",2003,"Gd","PConc","Ex",1518,631,2149,1,6,"RFn",2,670,"TA","TA","Y","WD","Abnorml",239686
"FV","Somerst","1Story","8",2006,"Gd","PConc","Gd",1656,0,1656,2,7,"RFn",3,826,"TA","TA","Y","WD","Normal",249700
"RM","OldTown","2Story","4",1920,"TA","BrkTil","TA",736,716,1452,2,8,"None",0,0,"None","None","None","New","Partial",113000
"RL","Sawyer","1Story","5",1966,"TA","CBlock","TA",955,0,955,1,6,"Unf",1,386,"TA","TA","Y","WD","Normal",127000
"RL","Gilbert","2Story","6",1997,"TA","PConc","Gd",794,676,1470,2,6,"Fin",2,388,"TA","TA","Y","WD","Normal",177000
"RM","BrkSide","1.5Fin","6",1934,"TA","PConc","TA",816,0,1176,1,6,"Unf",2,528,"TA","TA","Y","WD","Normal",114500
"RM","IDOTRR","1Story","5",1963,"Fa","CBlock","Gd",816,0,816,1,5,"Unf",2,516,"TA","TA","Y","WD","Normal",110000
"RL","Veenker","1Story","9",1981,"Gd","CBlock","Ex",1842,0,1842,0,5,"Fin",3,894,"TA","TA","Y","WD","Normal",385000
"RL","NAmes","SLvl","5",1955,"TA","CBlock","TA",1360,0,1360,1,6,"Unf",2,572,"TA","TA","Y","WD","Normal",130000
"RL","NAmes","1Story","6",1964,"TA","CBlock","TA",1425,0,1425,2,7,"RFn",2,576,"TA","TA","Y","WD","Normal",180500
"FV","Somerst","2Story","8",1999,"Gd","PConc","Gd",983,756,1739,2,7,"Fin",2,480,"TA","TA","Y","WD","Abnorml",172500
"RL","CollgCr","2Story","7",2004,"Gd","PConc","Gd",860,860,1720,2,7,"RFn",2,565,"TA","TA","Y","WD","Normal",196500
"RL","StoneBr","2Story","10",2006,"Ex","PConc","Ex",1426,1519,2945,3,10,"Fin",3,641,"TA","TA","Y","New","Partial",438780
"RL","CollgCr","1Story","5",1972,"TA","CBlock","TA",780,0,780,1,4,"Unf",1,352,"TA","TA","Y","WD","Normal",124900
"RL","SawyerW","1Story","6",2004,"TA","PConc","Gd",1158,0,1158,1,5,"Unf",2,576,"TA","TA","Y","New","Partial",158000
"RM","IDOTRR","2.5Unf","5",1920,"TA","BrkTil","TA",581,530,1111,1,6,"Unf",1,288,"TA","TA","None","WD","Normal",101000
"RL","NridgHt","1Story","8",2006,"Gd","PConc","Gd",1370,0,1370,2,6,"RFn",2,484,"TA","TA","Y","WD","Normal",202500
"RM","OldTown","2Story","7",1921,"TA","BrkTil","TA",902,808,1710,2,9,"Unf",2,480,"TA","TA","Y","WD","Normal",140000
"RL","CollgCr","2Story","7",1997,"TA","PConc","Gd",1057,977,2034,2,8,"RFn",2,645,"TA","TA","Y","WD","Normal",219500
"RL","NridgHt","2Story","8",2004,"Gd","PConc","Ex",1143,1330,2473,2,9,"RFn",3,852,"TA","TA","Y","WD","Normal",317000
"RL","NAmes","1Story","7",1970,"TA","CBlock","Gd",2207,0,2207,2,7,"RFn",2,576,"TA","TA","Y","WD","Normal",180000
"RL","CollgCr","1Story","7",2003,"Gd","PConc","Gd",1479,0,1479,2,7,"RFn",2,558,"TA","TA","Y","WD","Normal",226000
"RM","OldTown","1Story","4",1945,"TA","CBlock","TA",747,0,747,1,4,"Unf",1,220,"TA","TA","Y","WD","Normal",80000
"RL","ClearCr","1.5Fin","7",1953,"Gd","CBlock","TA",1304,983,2287,2,7,"Fin",2,667,"TA","TA","Y","WD","Normal",225000
"RL","NAmes","1Story","7",1973,"TA","CBlock","Gd",2223,0,2223,2,8,"Fin",2,516,"TA","TA","Y","WD","Normal",244000
"RL","Mitchel","1Story","4",1982,"TA","CBlock","TA",845,0,845,1,4,"Unf",2,360,"TA","TA","Y","WD","Normal",129500
"RL","Gilbert","2Story","7",1998,"TA","PConc","Gd",885,833,1718,2,7,"Fin",2,427,"TA","TA","Y","WD","Normal",185000
"RL","NAmes","1Story","5",1954,"TA","CBlock","TA",1086,0,1086,1,6,"Unf",2,490,"TA","TA","Y","WD","Normal",144900
"RM","OldTown","2Story","3",1915,"Gd","CBlock","Fa",840,765,1605,2,8,"Unf",1,379,"TA","TA","Y","WD","Normal",107400
"RM","MeadowV","SLvl","4",1973,"TA","CBlock","Gd",526,462,988,1,5,"Unf",1,297,"TA","TA","Y","WD","Normal",91000
"RL","NAmes","1Story","4",1956,"TA","CBlock","TA",952,0,952,1,4,"Unf",1,283,"TA","TA","Y","WD","Normal",135750
"RM","BrkSide","1.5Fin","5",1948,"TA","CBlock","TA",1072,213,1285,1,6,"Unf",1,240,"TA","TA","Y","WD","Normal",127000
"RL","Sawyer","1Story","4",1968,"TA","CBlock","TA",1768,0,1768,2,8,"None",0,0,"None","None","Y","WD","Normal",136500
"RM","OldTown","2Story","5",1910,"TA","PConc","TA",682,548,1230,1,5,"Unf",2,440,"TA","TA","Y","WD","Normal",110000
"RL","NAmes","2Story","6",1968,"TA","CBlock","Gd",1182,960,2142,2,8,"Fin",1,509,"TA","TA","Y","WD","Normal",193500
"RM","Mitchel","1Story","6",1998,"TA","PConc","Ex",1337,0,1337,2,5,"Fin",2,405,"TA","TA","Y","WD","Normal",153500
"RL","Somerst","1Story","8",2007,"TA","PConc","Gd",1563,0,1563,2,6,"RFn",3,758,"TA","TA","Y","WD","Normal",245000
"RL","NAmes","1Story","5",1960,"TA","CBlock","TA",1065,0,1065,1,6,"Unf",2,461,"TA","TA","Y","COD","Normal",126500
"RL","Gilbert","SLvl","7",1995,"TA","PConc","Gd",804,670,1474,2,7,"Fin",2,400,"TA","TA","Y","WD","Normal",168500
"RL","NoRidge","2Story","8",1991,"Gd","CBlock","Gd",1301,1116,2417,2,9,"Unf",2,462,"TA","TA","Y","WD","Normal",260000
"RL","Gilbert","2Story","6",2005,"Gd","PConc","Gd",684,876,1560,2,6,"Fin",2,400,"TA","TA","Y","WD","Normal",174000
"FV","Somerst","2Story","6",2009,"Gd","PConc","Gd",612,612,1224,2,4,"RFn",2,528,"TA","TA","Y","New","Partial",164500
"C (all)","IDOTRR","1.5Fin","3",1915,"Fa","CBlock","TA",1013,0,1526,1,6,"None",0,0,"None","None","None","ConLD","Abnorml",85000
"RL","CollgCr","1Story","4",1994,"TA","PConc","Gd",990,0,990,1,5,"None",0,0,"None","None","Y","WD","Normal",123600
"RL","NAmes","1Story","4",1950,"TA","Slab","None",1040,0,1040,1,4,"Unf",2,420,"TA","TA","Y","WD","Normal",109900
"RL","NAmes","1Story","5",1961,"TA","CBlock","TA",1235,0,1235,1,6,"Unf",2,480,"TA","TA","Y","WD","Abnorml",98600
"RL","Crawfor","1Story","5",1921,"TA","BrkTil","Gd",964,0,964,1,5,"Unf",2,432,"TA","TA","Y","WD","Normal",163500
"C (all)","OldTown","2.5Unf","6",1910,"TA","BrkTil","TA",1260,1031,2291,2,9,"Unf",2,506,"TA","TA","Y","WD","Normal",133900
"RL","CollgCr","2Story","6",1997,"TA","PConc","Gd",905,881,1786,2,7,"RFn",2,684,"TA","TA","Y","WD","Normal",204750
"RL","Gilbert","2Story","6",1993,"Ex","PConc","Gd",680,790,1470,2,6,"Fin",2,420,"TA","TA","Y","WD","Normal",185000
"RL","CollgCr","1Story","7",1999,"Gd","PConc","Gd",1588,0,1588,2,6,"RFn",2,472,"TA","TA","Y","WD","Normal",214000
"RL","Edwards","1Story","4",1965,"TA","CBlock","TA",960,0,960,1,6,"Fin",1,432,"TA","TA","P","WD","Normal",94750
"RL","Edwards","1Story","5",1920,"TA","BrkTil","TA",835,0,835,1,5,"Unf",1,366,"Fa","TA","Y","COD","Abnorml",83000
"RL","NAmes","1Story","4",1959,"TA","CBlock","TA",1225,0,1225,1,6,"None",0,0,"None","None","Y","WD","Normal",128950
"RL","NWAmes","1Story","6",1977,"TA","PConc","TA",1610,0,1610,2,6,"RFn",2,480,"TA","TA","Y","WD","Normal",205000
"RL","SawyerW","2Story","6",1985,"Gd","CBlock","Gd",977,755,1732,2,7,"Fin",2,476,"TA","TA","Y","WD","Normal",178000
"RL","SawyerW","1Story","5",1979,"TA","Slab","None",1535,0,1535,2,8,"Unf",2,410,"TA","TA","Y","WD","Alloca",118964
"RL","CollgCr","1Story","7",2009,"TA","PConc","Gd",1226,0,1226,2,6,"RFn",3,740,"TA","TA","Y","WD","Normal",198900
"RM","IDOTRR","1.5Fin","7",1931,"TA","PConc","TA",1226,592,1818,1,7,"Unf",1,240,"TA","TA","Y","WD","Normal",169500
"FV","Somerst","2Story","8",2003,"Gd","PConc","Ex",1053,939,1992,2,9,"RFn",2,648,"TA","TA","Y","WD","Normal",250000
"RM","OldTown","1Story","4",1885,"TA","BrkTil","Fa",1047,0,1047,1,6,"Unf",1,273,"Fa","Fa","None","WD","Normal",1e+05
"RM","OldTown","1Story","5",1948,"TA","CBlock","TA",789,0,789,1,5,"Unf",1,250,"TA","TA","Y","WD","Partial",115000
"RM","IDOTRR","1.5Fin","5",1919,"TA","CBlock","TA",997,520,1517,2,7,"None",0,0,"None","None","None","WD","Normal",115000
"RL","NWAmes","1Story","6",1977,"TA","CBlock","Gd",1844,0,1844,2,7,"RFn",2,546,"TA","TA","Y","COD","Normal",190000
"RL","Edwards","1.5Fin","6",1954,"TA","CBlock","TA",1216,639,1855,2,7,"Unf",1,325,"TA","TA","Y","WD","Normal",136900
"RL","Gilbert","SLvl","7",2000,"TA","PConc","Gd",774,656,1430,2,7,"Fin",2,400,"TA","TA","Y","WD","Normal",180000
"RL","CollgCr","2Story","7",2007,"Gd","PConc","Ex",1282,1414,2696,2,10,"Fin",3,792,"TA","TA","Y","New","Partial",383970
"RL","Crawfor","1Story","6",1953,"TA","CBlock","Gd",2259,0,2259,2,7,"Unf",2,450,"TA","TA","Y","COD","Abnorml",217000
"RL","Crawfor","2Story","6",1945,"TA","CBlock","TA",1436,884,2320,2,9,"Unf",1,180,"TA","TA","Y","WD","Normal",259500
"FV","Somerst","2Story","6",1999,"TA","PConc","Gd",729,729,1458,2,5,"Unf",2,440,"TA","TA","Y","WD","Normal",176000
"RL","Sawyer","1Story","5",1962,"TA","CBlock","TA",1092,0,1092,1,6,"Unf",1,288,"TA","TA","Y","WD","Normal",139000
"RL","Edwards","1Story","5",2006,"TA","PConc","Gd",1125,0,1125,1,5,"Unf",2,430,"TA","TA","Y","New","Partial",155000
"RL","SawyerW","2Story","7",1990,"TA","PConc","Gd",1699,1523,3222,3,11,"Unf",3,594,"TA","TA","Y","WD","Normal",320000
"RL","CollgCr","2Story","6",2005,"Gd","PConc","Gd",728,728,1456,2,8,"Fin",2,390,"TA","TA","Y","New","Partial",163990
"RL","ClearCr","SLvl","6",1969,"TA","CBlock","TA",988,0,988,1,4,"Unf",2,540,"TA","TA","Y","WD","Normal",180000
"RM","IDOTRR","1.5Fin","4",1939,"TA","PConc","TA",772,351,1123,1,4,"Unf",1,264,"TA","TA","P","WD","Normal",1e+05
"RL","NAmes","1Story","6",1958,"TA","CBlock","TA",1080,0,1080,1,5,"Unf",1,288,"TA","TA","Y","WD","Normal",136000
"RL","SawyerW","1Story","6",1993,"Gd","PConc","Gd",1199,0,1199,2,5,"RFn",2,530,"TA","TA","Y","WD","Normal",153900
"RL","NWAmes","1Story","6",1979,"TA","CBlock","Gd",1586,0,1586,2,7,"Unf",2,435,"TA","TA","Y","WD","Normal",181000
"RM","IDOTRR","1.5Fin","6",1935,"TA","CBlock","TA",520,0,754,1,5,"None",0,0,"None","None","None","WD","Normal",84500
"RL","NPkVill","1Story","6",1976,"TA","CBlock","Gd",958,0,958,2,5,"RFn",2,440,"TA","TA","Y","WD","Normal",128000
"RM","OldTown","1.5Unf","5",1930,"TA","BrkTil","TA",840,0,840,1,5,"None",0,0,"None","None","None","WD","Normal",87000
"RL","NAmes","2Story","6",1966,"TA","CBlock","TA",660,688,1348,1,6,"RFn",2,453,"TA","TA","Y","WD","Normal",155000
"RL","NAmes","1Story","5",1958,"TA","CBlock","TA",1053,0,1053,1,6,"RFn",2,750,"TA","TA","Y","WD","Abnorml",150000
"RL","NAmes","2Story","7",1966,"TA","CBlock","TA",1216,941,2157,2,8,"Fin",2,487,"TA","TA","Y","WD","Normal",226000
"RL","Gilbert","2Story","6",2000,"Gd","PConc","Gd",1022,1032,2054,2,7,"RFn",2,390,"TA","TA","Y","WD","Normal",244000
"RL","NAmes","1Story","5",1959,"TA","CBlock","TA",1327,0,1327,1,7,"Unf",2,624,"TA","TA","Y","WD","Normal",150750
"RL","Timber","1Story","8",2001,"Gd","PConc","Ex",1296,0,1296,2,6,"Fin",2,471,"TA","TA","Y","WD","Normal",220000
"RL","Sawyer","1Story","5",1968,"TA","CBlock","TA",1721,0,1721,2,7,"RFn",2,440,"TA","TA","Y","WD","Normal",180000
"RL","NWAmes","1Story","7",1970,"TA","PConc","TA",1682,0,1682,2,7,"Unf",2,530,"TA","TA","Y","WD","Normal",174000
"RL","NAmes","1Story","5",1967,"TA","CBlock","TA",1214,0,1214,2,5,"RFn",1,318,"TA","TA","Y","WD","Normal",143000
"RL","Mitchel","1Story","7",1988,"TA","CBlock","TA",1959,0,1959,3,9,"Unf",3,766,"TA","TA","Y","WD","Family",171000
"RL","CollgCr","2Story","8",1999,"Gd","PConc","Gd",1004,848,1852,2,7,"Fin",3,660,"TA","TA","Y","WD","Normal",230000
"RL","CollgCr","2Story","6",1997,"TA","PConc","Gd",928,836,1764,2,7,"RFn",2,470,"TA","TA","Y","WD","Normal",231500
"RL","NAmes","1Story","4",1971,"TA","CBlock","TA",864,0,864,1,5,"None",0,0,"None","None","Y","ConLI","Normal",115000
"RL","CollgCr","1Story","7",2005,"Gd","PConc","Gd",1734,0,1734,2,7,"Fin",2,660,"TA","TA","Y","WD","Normal",260000
"RL","NAmes","1.5Fin","5",1952,"TA","CBlock","TA",910,475,1385,2,6,"Unf",2,720,"TA","TA","Y","WD","Normal",166000
"RL","CollgCr","1Story","7",1999,"Gd","PConc","Gd",1501,0,1501,2,6,"RFn",2,577,"TA","TA","Y","WD","Normal",204000
"RM","Sawyer","1Story","5",1963,"TA","CBlock","TA",1728,0,1728,2,10,"Unf",2,504,"TA","TA","Y","ConLI","Abnorml",125000
"RM","Edwards","2Story","6",2004,"Gd","PConc","Gd",970,739,1709,2,7,"Unf",2,380,"TA","TA","Y","WD","Normal",130000
"RM","BrkSide","1Story","5",1931,"TA","BrkTil","TA",875,0,875,1,5,"Unf",1,180,"Fa","TA","Y","WD","Normal",105000
"RL","Gilbert","2Story","7",2001,"Gd","PConc","Gd",884,1151,2035,2,8,"Fin",2,434,"TA","TA","Y","WD","Normal",222500
"RL","SawyerW","1Story","7",2004,"TA","PConc","Gd",1080,0,1080,1,6,"None",0,0,"None","None","Y","WD","Normal",141000
"RM","BrkSide","1.5Fin","5",1936,"TA","BrkTil","Gd",896,448,1344,1,7,"Unf",1,240,"Fa","TA","Y","WD","Normal",115000
"RL","CollgCr","1Story","5",1975,"TA","CBlock","TA",969,0,969,1,5,"Unf",2,440,"TA","TA","Y","WD","Normal",122000
"RL","NridgHt","1Story","8",2007,"Gd","PConc","Ex",1710,0,1710,2,6,"RFn",3,866,"TA","TA","Y","New","Partial",372402
"RL","NWAmes","2Story","6",1971,"TA","CBlock","TA",1097,896,1993,2,8,"RFn",2,495,"TA","TA","Y","WD","Normal",190000
"RL","ClearCr","1Story","6",1960,"TA","CBlock","Gd",1252,0,1252,1,4,"RFn",2,564,"TA","TA","Y","WD","Normal",235000
"RM","OldTown","1Story","6",1923,"TA","BrkTil","TA",1200,0,1200,1,7,"Unf",1,312,"Fa","Fa","Y","WD","Family",125000
"RL","Edwards","1.5Fin","6",1924,"TA","BrkTil","TA",572,524,1096,1,5,"None",0,0,"None","None","None","WD","Normal",79000
"RL","NAmes","1Story","5",1950,"TA","CBlock","None",1040,0,1040,1,5,"Unf",2,625,"TA","TA","Y","WD","Normal",109500
"RL","Timber","2Story","8",2009,"Gd","PConc","Ex",774,1194,1968,2,8,"Fin",3,680,"TA","TA","Y","New","Partial",269500
"FV","Somerst","2Story","7",2004,"Gd","PConc","Gd",991,956,1947,2,8,"RFn",2,678,"TA","TA","Y","WD","Normal",254900
"RL","Gilbert","2Story","7",2005,"Gd","PConc","Gd",1392,1070,2462,2,9,"RFn",2,576,"TA","TA","Y","New","Partial",320000
"RL","Veenker","1Story","6",1984,"TA","PConc","Gd",1232,0,1232,2,6,"Unf",2,516,"TA","TA","Y","WD","Normal",162500
"RL","NridgHt","2Story","9",2003,"Gd","PConc","Ex",1572,1096,2668,2,10,"Fin",3,726,"TA","TA","Y","WD","Normal",412500
"RL","NridgHt","1Story","7",2005,"Gd","PConc","Gd",1541,0,1541,2,7,"RFn",2,532,"TA","TA","Y","New","Partial",220000
"RL","OldTown","1.5Unf","4",1956,"TA","CBlock","TA",882,0,882,1,4,"None",0,0,"None","None","Y","WD","Normal",103200
"RM","OldTown","1Story","6",1926,"TA","BrkTil","TA",1149,467,1616,2,5,"Unf",1,216,"TA","TA","Y","WD","Normal",152000
"RL","Edwards","1.5Fin","5",1940,"TA","BrkTil","TA",808,547,1355,2,6,"None",0,0,"None","None","Y","WD","Normal",127500
"RL","ClearCr","1Story","5",1955,"Gd","CBlock","TA",1867,0,1867,1,7,"Fin",1,303,"TA","TA","Y","COD","Normal",190000
"RL","NridgHt","2Story","8",2007,"Gd","PConc","Ex",1610,551,2161,1,8,"Fin",3,789,"TA","TA","Y","New","Partial",325624
"RL","Gilbert","2Story","7",2004,"Gd","PConc","Gd",840,880,1720,2,7,"Fin",2,440,"TA","TA","Y","WD","Normal",183500
"RL","Timber","1Story","8",1981,"Gd","CBlock","Gd",1707,0,1707,2,6,"RFn",2,511,"TA","TA","Y","WD","Normal",228000
"RM","OldTown","1.5Fin","5",1941,"TA","CBlock","TA",854,0,1382,1,7,"Unf",2,660,"TA","TA","Y","WD","Normal",128500
"RL","NAmes","1Story","6",1960,"TA","CBlock","TA",1656,0,1656,1,7,"Fin",2,528,"TA","TA","P","WD","Normal",215000
"RL","StoneBr","2Story","7",1987,"Gd","PConc","Gd",1064,703,1767,2,5,"RFn",2,504,"Gd","TA","Y","WD","Normal",239000
"RL","NAmes","1Story","6",1961,"TA","CBlock","TA",1362,0,1362,1,6,"Unf",2,504,"TA","TA","Y","COD","Normal",163000
"RL","Timber","1Story","6",1986,"TA","CBlock","Gd",1651,0,1651,2,7,"Fin",2,616,"TA","TA","Y","WD","Normal",184000
"RL","Edwards","1Story","6",1950,"TA","CBlock","TA",2158,0,2158,2,7,"Unf",2,576,"TA","TA","Y","WD","Normal",243000
"RL","ClearCr","2Story","6",1988,"Gd","PConc","Gd",1164,896,2060,2,8,"Unf",2,521,"TA","TA","Y","WD","Normal",211000
"RL","Sawyer","1.5Fin","5",1958,"Gd","CBlock","TA",1252,668,1920,2,8,"Unf",2,451,"TA","TA","Y","WD","Normal",172500
"RL","StoneBr","1Story","9",2008,"Ex","PConc","Ex",2234,0,2234,2,9,"Fin",3,1166,"TA","TA","Y","New","Partial",501837
"RM","OldTown","1Story","5",1923,"Gd","CBlock","TA",968,0,968,1,5,"Unf",2,480,"Fa","TA","None","WD","Normal",1e+05
"FV","Somerst","2Story","6",2000,"Gd","PConc","Gd",769,756,1525,2,5,"Unf",2,440,"TA","TA","Y","WD","Normal",177000
"RL","Crawfor","2Story","7",1920,"TA","BrkTil","Fa",901,901,1802,1,9,"Unf",1,216,"Fa","TA","Y","WD","Normal",200100
"RL","Edwards","1Story","5",1957,"TA","PConc","None",1340,0,1340,1,7,"RFn",1,252,"TA","TA","Y","WD","Normal",120000
"RM","OldTown","1.5Fin","7",2003,"TA","PConc","Gd",1362,720,2082,2,6,"Unf",2,484,"TA","TA","None","WD","Normal",2e+05
"RL","BrkSide","1.5Fin","5",1908,"TA","PConc","Fa",936,316,1252,1,5,"Unf",2,576,"TA","TA","Y","WD","Normal",127000
"RM","OldTown","2.5Fin","10",1892,"Gd","BrkTil","TA",1518,1518,3608,2,12,"Unf",3,840,"Ex","TA","Y","WD","Normal",475000
"RL","Mitchel","SLvl","7",1990,"TA","PConc","Gd",1217,0,1217,2,6,"Unf",2,497,"TA","TA","Y","WD","Normal",173000
"RL","OldTown","1.5Fin","5",1916,"TA","CBlock","Fa",808,704,1656,2,8,"Unf",1,180,"Fa","Fa","None","WD","Normal",135000
"RL","SawyerW","SFoyer","5",1979,"TA","CBlock","Gd",1224,0,1224,0,6,"Unf",2,528,"TA","TA","Y","WD","Alloca",153337
"RL","StoneBr","1Story","8",2001,"Gd","PConc","Ex",1593,0,1593,1,5,"Fin",2,682,"TA","TA","Y","WD","Normal",286000
