,var_type,owner,var_info,Levels / range,Significance (0-5),missingness,outliers
MasVnrType,character,Iman,Masonry veneer type,"BrkCmn: Brick Common, BrkFace: Brick Face, Cblock: Cinder Block, None: None, Stone :Stone",,8,BrkCmn 15
MasVnrArea,character,Iman,Masonry veneer area in square feet,,,8,
ExterQual,character,Iman,Evaluates the quality of the material on the exterior,"Ex: Excellent, Gd: Good, TA: Average/Typical, Fa: Fair, Po: Poor",5,0,Fa 14
ExterCond,character,Iman,Evaluates the present condition of the material on the exterior,"Ex: Excellent, Gd: Good, TA: Average/Typical, Fa: Fair, Po: Poor",,0,"Ex 3, Po 1"
Foundation,character,Iman,Type of foundation,"BrkTil: Brick & Tile, Cblock: Cinder Block, Pconc: Poured Contrete, Slab: Slab, Stone: Stone, Wood: Wood",-4,0,"Stone 6, Wood 3"
BsmtQual,character,Iman,Evaluates the heightof the basement,"Ex: Excellent (100+ inches), Gd: Good (90-99 inches), TA: Typical (80-89 inches), Fa: Fair (70-79 inches), Po: Poor (<70 inches), NA: No Basement",5,37,
BsmtCond,character,Iman,Evaluates the general condition of the basement,"Ex: Excellent, Gd: Good, TA: Average/Typical, Fa: Fair, Po: Poor",,37,
BsmtExposure,character,Iman,Refers to walkout or garden level walls,"Gd Good Exposure, Av Average Exposure, (split levels or foyers typically score average or above), Mn Mimimum Exposure, No No Exposure, NA No Basement",3,38,
BsmtFinType1,character,Iman,Rating of basement finished area,"GLQ Good Living Quarters, ALQ Average Living Quarters, BLQ Below Average Living Quarters, Rec Average Rec Room, LwQ Low Quality, Unf Unfinshed, NA No Basement",,37,
BsmtFinSF1,integer,Iman,Type 1 finished square feet,,,0,7 (positive)
BsmtFinType2,character,Iman,Rating of basement finished area (if multiple types),"GLQ Good Living Quarters, ALQ Average Living Quarters, BLQ Below Average Living Quarters, Rec Average Rec Room, LwQ Low Quality, Unf Unfinshed, NA No Basement",,38,"ALQ 19, GLQ 14"
BsmtFinSF2,integer,Iman,Type 2 finished square feet,,,0,167 (positive)
BsmtUnfSF,integer,Iman,Unfinished square feet of basement area,,,0,29 (positive)
TotalBsmtSF,integer,Iman,Total square feet of basement area,,,0,"37 (negative), 24 (positive)"
Heating,character,Iman,Type of heating,"Floor: Floor Furnace, GasA: Gas forced warm air furnace, GasW: Gas hot water or steam heat, Grav: Gravity furnace, OthW: Hot water or steam heat other than gas, Wall: Wall furnace",,0,"Floor 1, GasW 18, Grav 7, OthW 2, Wall 4"
HeatingQC,character,Chung,,,,,
CentralAir,character,Chung,,,,,
Electrical,character,Chung,,,,,
X1stFlrSF,integer,Chung,,,,,
X2ndFlrSF,integer,Chung,,,,,
LowQualFinSF,integer,Chung,,,,,
GrLivArea,integer,Chung,,,,,
BsmtFullBath,integer,Chung,,,,,
BsmtHalfBath,integer,Chung,,,,,
FullBath,integer,Chung,,,,,
HalfBath,integer,Chung,,,,,
BedroomAbvGr,integer,Chung,,,,,
KitchenAbvGr,integer,Chung,,,,,
KitchenQual,character,Chung,,,,,
TotRmsAbvGrd,integer,Chung,,,,,
Functional,character,Chung,,,,,
Fireplaces,integer,Chung,,,,,
FireplaceQu,character,Chung,,,,,
GarageType,character,Chung,,,,,
GarageYrBlt,character,Chung,,,,,
GarageFinish,character,Wing,,,,,
GarageCars,integer,Wing,,,,,
GarageArea,integer,Wing,,,,,
GarageQual,character,Wing,,,,,
GarageCond,character,Wing,,,,,
PavedDrive,character,Wing,,,,,
WoodDeckSF,integer,Wing,,,,,
OpenPorchSF,integer,Wing,,,,,
EnclosedPorch,integer,Wing,,,,,
X3SsnPorch,integer,Wing,,,,,
ScreenPorch,integer,Wing,,,,,
PoolArea,integer,Wing,,,,,
PoolQC,character,Wing,,,,,
Fence,character,Wing,,,,,
MiscFeature,character,Wing,,,,,
MiscVal,integer,Wing,,,,,
MoSold,integer,Wing,,,,,
YrSold,integer,Wing,,,,,
SaleType,character,Wing,,,,,
SaleCondition,character,Wing,,,,,
SalePrice,integer,Wing,,,,,61 (positive)
